Date,U1,U3,Torq1
,-0.97375,1.8696,-0.0025
,-0.89179,1.96858,0.0013
,-0.95422,1.86092,-0.0015
,-0.89483,1.93638,0.0023
,-0.95209,1.84624,-0.0015
,-0.86299,1.95864,0.0042
,-0.94672,1.82382,-0.0025
,-0.8414,1.93827,0.0013
,-0.93117,1.86139,-0.0015
,-0.84361,1.95027,0.0032
,-0.91038,1.84482,-0.0006
,-0.8399,1.93653,0.0023
,-0.90864,1.80046,-0.0025
,-0.83241,1.88949,0.0023
,-0.92979,1.79982,-0.0006
,-0.83592,1.91664,0.0032
,-0.97047,1.88712,-0.0015
,-0.85482,2.16039,0.0013
,-1.05752,2.04988,-0.0006
,-0.91941,2.15139,0.0032
,-1.08147,1.82635,-0.0025
,-0.98748,2.13749,0.0023
,-1.05641,1.76399,-0.0015
,-0.97529,1.84813,0.0032
,-1.04067,1.65585,-0.0015
,-0.95122,1.81293,0.0023
,-1.01222,1.59713,-0.0015
,-0.89791,1.76194,0.0023
,-0.92967,1.71,-0.0015
,-0.86753,1.88081,0.0013
,-0.91468,1.80819,-0.0006
,-0.7963,2.08429,0.0032
,-0.88946,1.92043,-0.0006
,-0.75041,2.12487,0.0023
,-0.82274,1.92122,-0.0015
,-0.71036,2.12187,0.0023
,-0.75578,1.71521,-0.0006
,-0.61408,2.04499,0.0023
,-0.71439,1.58308,-0.0015
,-0.56874,1.91475,0.0032
,-0.72603,1.77204,-0.0025
,-0.58066,2.05698,0.0023
,-0.67674,1.61654,-0.0025
