Date,U1,U3,Speed1
,0.0626,0.46572,0
,-0.00215,0.28923,0
,0.08099,0.42073,0
,0.00021,0.22608,0
,0.10766,0.38979,0
,0.03241,0.14494,0
,0.10525,0.33469,0
,0.04571,0.0709,0
,0.20315,0.25781,0
,0.16511,-0.18373,0
,0.38087,0.2324,0
,0.31206,-0.84266,0
,0.49017,-0.11806,0
,0.30906,-1.2018,0
,0.50256,-0.68116,0
,0.30436,-1.37781,0
,0.5425,-1.06209,0
,0.38636,-1.44601,0
,0.61265,-1.10739,0
,0.40171,-1.71738,0
,0.67634,-1.1216,0
,0.3991,-1.74469,0
,0.6926,-1.23621,0
,0.3729,-1.72811,0
,0.58448,-1.24584,0
,0.36067,-1.44333,0
,0.52806,-1.08292,0
,0.36162,-1.31956,0
,0.54589,-1.01552,0
,0.37421,-1.43528,0
,0.57324,-1.00226,0
,0.37772,-1.49132,0
,0.59987,-1.06351,0
,0.40423,-1.54689,0
,0.62173,-1.2018,0
,0.44219,-1.524,0
,0.59821,-1.27899,0
,0.42562,-1.60024,0
,0.59458,-1.27757,0
,0.39981,-1.55067,0
,0.59324,-1.17764,0
,0.38967,-1.47948,0
,0.56972,-1.21585,0
,0.41362,-1.4719,0
,0.54743,-1.25089,0
,0.41725,-1.55083,0
,0.55323,-1.28767,0
,0.40782,-1.59535,0
,0.58989,-1.29683,0
,0.40116,-1.61998,0
,0.55852,-1.36818,0
,0.42838,-1.54973,0
,0.53693,-1.39644,0
,0.43509,-1.53678,0
,0.52588,-1.38571,0
,0.40084,-1.53994,0
,0.53654,-1.32351,0
,0.24202,-1.44333,0
,0.50829,-1.15349,0
,0.29548,-1.27631,0
,0.52115,-0.97684,0
,0.43134,-1.53757,0
,0.8343,-1.18427,0
,0.76516,-1.96791,0
,1.03909,-1.48848,0
,0.93776,-2.1062,0
,1.04725,-1.91266,0
,0.92659,-2.07115,0
,1.03518,-1.88645,0
,0.90169,-1.95938,0
,0.99138,-1.82978,0
,0.93752,-2.13509,0
,1.10853,-1.90287,0
,1.05763,-2.45287,0
,1.25544,-2.10841,0
,1.20967,-2.48917,0
,1.35724,-2.39698,0
,1.25122,-2.46944,0
,1.33672,-2.28379,0
