Date,U1,U3,Aux1
,-0.81337,0.89731,0
,-0.72486,0.96724,0
,-0.80347,0.91041,0
,-0.7281,0.98902,0
,-0.78318,0.80448,0
,-0.59007,0.98571,0
,-0.67913,0.64662,0
,-0.56352,0.83258,0
,-0.84016,0.65941,0
,-0.6497,1.29133,0
,-1.01378,1.24808,0
,-0.78405,1.79981,0
,-1.10091,1.76808,0
,-0.97953,2.05539,0
,-1.10556,1.96525,0
,-1.00802,2.06376,0
,-1.07273,1.91995,0
,-0.98111,2.05239,0
,-1.09617,1.92689,0
,-0.9991,2.1498,0
,-1.21368,2.10323,0
,-1.06251,2.34618,0
,-1.26028,2.3064,0
,-1.16834,2.41201,0
,-1.26746,2.15958,0
,-1.17154,2.33907,0
,-1.22954,2.05208,0
,-1.11649,2.17474,0
,-1.16215,2.01151,0
,-1.0476,2.10291,0
,-1.09925,1.94,0
,-0.99153,2.06392,0
,-1.05257,1.79997,0
,-0.96391,1.96052,0
,-1.01426,1.75356,0
,-0.94939,1.8377,0
,-1.00269,1.72641,0
,-0.92977,1.81228,0
,-1.00179,1.71946,0
,-0.9265,1.83691,0
,-1.00668,1.74172,0
,-0.93084,1.82239,0
,-1.01224,1.77519,0
,-0.93664,1.8789,0
,-1.01055,1.81339,0
,-0.93593,1.89958,0
,-1.00672,1.76445,0
,-0.93139,1.85364,0
,-1.00463,1.75893,0
,-0.92776,1.86043,0
,-1.04322,1.83328,0
,-0.94126,2.10212,0
,-1.10663,2.0295,0
,-0.99133,2.16416,0
,-1.12379,1.76761,0
,-1.02933,2.04545,0
,-1.13595,1.73493,0
,-1.04413,1.81386,0
,-1.11464,1.61811,0
,-1.0313,1.77534,0
,-1.12001,1.53176,0
,-0.99914,1.64653,0
,-1.0579,1.59506,0
,-0.95815,1.78845,0
,-1.02574,1.72309,0
,-0.91521,1.98136,0
,-0.99776,1.83596,0
,-0.83906,2.05555,0
,-0.94516,1.83139,0
,-0.80714,2.01987,0
,-0.87871,1.74835,0
,-0.78208,1.99051,0
,-0.85389,1.71914,0
,-0.72194,1.89153,0
,-0.80272,1.65474,0
,-0.69823,1.87369,0
,-0.77738,1.49592,0
,-0.64086,1.8186,0
,-0.71658,1.36774,0
,-0.59516,1.64163,0
,-0.68276,1.34564,0
,-0.54343,1.61101,0
,-0.69602,1.46988,0
,-0.55582,1.67131,0
,-0.72471,1.47619,0
,-0.60503,1.75151,0
,-0.72909,1.5979,0
,-0.63585,1.88743,0
,-0.71113,1.69215,0
,-0.59441,1.98041,0
,-0.64733,1.70494,0
,-0.56419,1.94173,0
,-0.63024,1.55781,0
,-0.53175,1.83644,0
,-0.55985,1.44999,0
,-0.48373,1.61701,0
,-0.56959,1.38068,0
,-0.47032,1.55039,0
,-0.55622,1.32149,0
,-0.44336,1.51582,0
,-0.49632,1.22156,0
,-0.42383,1.44604,0
,-0.45177,1.15099,0
,-0.371,1.34185,0
,-0.43962,1.06622,0
,-0.33197,1.28123,0
,-0.42087,0.88736,0
,-0.32242,1.15825,0
,-0.39014,0.8179,0
,-0.28147,0.98208,0
,-0.3972,0.72429,0
,-0.3021,0.9524,0
,-0.41389,0.61757,0
,-0.31216,0.83242,0
,-0.4099,0.61031,0
,-0.31106,0.79833,0
,-0.41128,0.57211,0
,-0.3195,0.77843,0
,-0.40426,0.58521,0
,-0.29946,0.76802,0
,-0.36386,0.64346,0
,-0.25171,0.7797,0
,-0.32661,0.67203,0
,-0.23992,0.81901,0
,-0.28873,0.67267,0
,-0.20192,0.84426,0
